date,high,low,open,close
2002-05-23,1.2428569793701172,1.1457140445709229,1.1564290523529053,1.1964290142059326
2002-05-24,1.225000023841858,1.1971429586410522,1.2142859697341921,1.2100000381469729
2002-05-28,1.2321430444717407,1.157142996788025,1.2135709524154663,1.157142996788025
2002-05-29,1.1642860174179075,1.0857139825820925,1.1642860174179075,1.1035710573196411
2002-05-30,1.1078569889068604,1.0714290142059326,1.1078569889068604,1.0714290142059326
2002-05-31,1.0785709619522097,1.0714290142059326,1.0785709619522097,1.0764290094375608
2002-06-03,1.1492860317230225,1.0764290094375608,1.0800000429153442,1.1285710334777832
2002-06-04,1.1399999856948853,1.1107139587402344,1.135714054107666,1.1178569793701172
2002-06-05,1.1592860221862793,1.1071430444717407,1.1107139587402344,1.147143006324768
2002-06-06,1.2321430444717407,1.1485710144042969,1.149999976158142,1.182142972946167
2002-06-07,1.1778570413589478,1.1035710573196411,1.1778570413589478,1.1185710430145264
2002-06-10,1.1749999523162842,1.1342860460281372,1.1349999904632568,1.1564290523529053
2002-06-11,1.1885709762573242,1.1285710334777832,1.1564290523529053,1.1535710096359253
2002-06-12,1.182142972946167,1.0892859697341921,1.1535710096359253,1.0928570032119749
2002-06-13,1.122143030166626,1.0800000429153442,1.1042859554290771,1.0828570127487185
2002-06-14,1.0857139825820925,0.9800000190734864,1.082142949104309,0.98642897605896
2002-06-17,1.0592859983444214,0.917856991291046,1.01357102394104,0.9221429824829102
2002-06-18,0.9392859935760498,0.8421429991722107,0.9385709762573242,0.9107139706611632
2002-06-19,0.9964290261268616,0.892857015132904,0.9114289879798888,0.9514290094375609
2002-06-20,1.0399999618530271,0.9499999880790709,0.9714289903640748,0.957143008708954
2002-06-21,0.9892860054969788,0.9478570222854614,0.982142984867096,0.979286015033722
2002-06-24,1.0142860412597656,0.957143008708954,0.979286015033722,0.9785709977149964
2002-06-25,1.0071430206298828,0.947143018245697,0.9885709881782532,0.9642860293388368
2002-06-26,0.9964290261268616,0.9214289784431458,0.9635710120201112,0.9885709881782532
